date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:47:58	55990/55990	---M--	200	added ('OK')	image/png	etag:%223087db96-dab6-4d9290e42fbc0%22	http://web.stanford.edu/class/archive/cs/cs106b/cs106b.1138/materials/cppdoc/images/GObjectHierarchy.png	C:/My%20Web%20Sites/Stanford%20C++%20Lib%20Doc/web.stanford.edu/class/archive/cs/cs106b/cs106b.1138/materials/cppdoc/images/GObjectHierarchy.png	(from http://web.stanford.edu/class/archive/cs/cs106b/cs106b.1138/materials/cppdoc/GObject-class.html)
15:47:58	13939/13939	---M--	200	added ('OK')	image/png	etag:%223087db9e-3673-4d9290e42fbc0%22	http://web.stanford.edu/class/archive/cs/cs106b/cs106b.1138/materials/cppdoc/images/PacMan.png	C:/My%20Web%20Sites/Stanford%20C++%20Lib%20Doc/web.stanford.edu/class/archive/cs/cs106b/cs106b.1138/materials/cppdoc/images/PacMan.png	(from http://web.stanford.edu/class/archive/cs/cs106b/cs106b.1138/materials/cppdoc/GArc-class.html)
15:47:59	30127/30127	---M--	200	added ('OK')	image/png	etag:%223087db84-75af-4d9290e42fbc0%22	http://web.stanford.edu/class/archive/cs/cs106b/cs106b.1138/materials/cppdoc/images/GArcGeometry.png	C:/My%20Web%20Sites/Stanford%20C++%20Lib%20Doc/web.stanford.edu/class/archive/cs/cs106b/cs106b.1138/materials/cppdoc/images/GArcGeometry.png	(from http://web.stanford.edu/class/archive/cs/cs106b/cs106b.1138/materials/cppdoc/GArc-class.html)
15:47:59	5847/5847	---MC-	404	error ('Not%20Found')	text/html	date:Sat,%2013%20Feb%202016%2011:48:00%20GMT	http://web.stanford.edu/class/archive/cs/cs106b/cs106b.1138/materials/cppdoc/StanfordTree.png	C:/My%20Web%20Sites/Stanford%20C++%20Lib%20Doc/web.stanford.edu/class/archive/cs/cs106b/cs106b.1138/materials/cppdoc/StanfordTree.png	(from http://web.stanford.edu/class/archive/cs/cs106b/cs106b.1138/materials/cppdoc/GImage-class.html)
15:48:02	13271/13271	---M--	200	added ('OK')	image/png	etag:%223087dba2-33d7-4d9290e42fbc0%22	http://web.stanford.edu/class/archive/cs/cs106b/cs106b.1138/materials/cppdoc/images/StopSign.png	C:/My%20Web%20Sites/Stanford%20C++%20Lib%20Doc/web.stanford.edu/class/archive/cs/cs106b/cs106b.1138/materials/cppdoc/images/StopSign.png	(from http://web.stanford.edu/class/archive/cs/cs106b/cs106b.1138/materials/cppdoc/GPolygon-class.html)
15:48:02	7425/7425	---M--	200	added ('OK')	image/png	etag:%223087db86-1d01-4d9290e42fbc0%22	http://web.stanford.edu/class/archive/cs/cs106b/cs106b.1138/materials/cppdoc/images/GCheckBox.png	C:/My%20Web%20Sites/Stanford%20C++%20Lib%20Doc/web.stanford.edu/class/archive/cs/cs106b/cs106b.1138/materials/cppdoc/images/GCheckBox.png	(from http://web.stanford.edu/class/archive/cs/cs106b/cs106b.1138/materials/cppdoc/GCheckBox-class.html)
15:48:04	8294/8294	---M--	200	added ('OK')	image/png	etag:%223087db88-2066-4d9290e42fbc0%22	http://web.stanford.edu/class/archive/cs/cs106b/cs106b.1138/materials/cppdoc/images/GChooser.png	C:/My%20Web%20Sites/Stanford%20C++%20Lib%20Doc/web.stanford.edu/class/archive/cs/cs106b/cs106b.1138/materials/cppdoc/images/GChooser.png	(from http://web.stanford.edu/class/archive/cs/cs106b/cs106b.1138/materials/cppdoc/GChooser-class.html)
15:48:04	37187/37187	---M--	200	added ('OK')	image/png	etag:%223087db92-9143-4d9290e42fbc0%22	http://web.stanford.edu/class/archive/cs/cs106b/cs106b.1138/materials/cppdoc/images/GLabelGeometry.png	C:/My%20Web%20Sites/Stanford%20C++%20Lib%20Doc/web.stanford.edu/class/archive/cs/cs106b/cs106b.1138/materials/cppdoc/images/GLabelGeometry.png	(from http://web.stanford.edu/class/archive/cs/cs106b/cs106b.1138/materials/cppdoc/GLabel-class.html)
15:48:04	7200/7200	---M--	200	added ('OK')	image/png	etag:%223087db9a-1c20-4d9290e42fbc0%22	http://web.stanford.edu/class/archive/cs/cs106b/cs106b.1138/materials/cppdoc/images/GSlider.png	C:/My%20Web%20Sites/Stanford%20C++%20Lib%20Doc/web.stanford.edu/class/archive/cs/cs106b/cs106b.1138/materials/cppdoc/images/GSlider.png	(from http://web.stanford.edu/class/archive/cs/cs106b/cs106b.1138/materials/cppdoc/GSlider-class.html)
15:48:04	77551/77551	---M--	200	added ('OK')	image/png	etag:%223087db82-12eef-4d9290e42fbc0%22	http://web.stanford.edu/class/archive/cs/cs106b/cs106b.1138/materials/cppdoc/images/GArcExamples.png	C:/My%20Web%20Sites/Stanford%20C++%20Lib%20Doc/web.stanford.edu/class/archive/cs/cs106b/cs106b.1138/materials/cppdoc/images/GArcExamples.png	(from http://web.stanford.edu/class/archive/cs/cs106b/cs106b.1138/materials/cppdoc/GArc-class.html)
